Timestamp,Heart Rate(bpm),HRV(ms)
Apr 18 2024  6:10:27,58,116.8328286
Apr 18 2024  6:10:30,69,116.0763028
Apr 18 2024  6:10:33,63,114.0897213
Apr 18 2024  6:10:36,80,115.6999922
Apr 18 2024  6:10:39,58,119.3322493
Apr 18 2024  6:10:42,66,117.9790575
Apr 18 2024  6:10:45,58,115.4884938
Apr 18 2024  6:10:48,57,114.9704985
Apr 18 2024  6:10:51,95,132.182323
Apr 18 2024  6:10:54,67,138.5952194
Apr 18 2024  6:10:57,58,138.4441654
Apr 18 2024  6:11:0,61,140.1518165
Apr 18 2024  6:11:3,63,139.1867199
Apr 18 2024  6:11:6,59,137.9229567
Apr 18 2024  6:11:9,56,133.7196866
Apr 18 2024  6:11:12,63,133.3782972
Apr 18 2024  6:11:15,73,133.2262878
Apr 18 2024  6:11:18,86,130.4902202
Apr 18 2024  6:11:21,58,133.8036633
Apr 18 2024  6:11:24,68,130.3179424
Apr 18 2024  6:11:27,68,133.2725699
Apr 18 2024  6:11:30,72,131.4068966
Apr 18 2024  6:11:33,72,131.1485219
Apr 18 2024  6:11:36,57,130.5965135
Apr 18 2024  6:11:39,69,129.1823079
Apr 18 2024  6:11:42,88,129.5959538
Apr 18 2024  6:11:45,70,130.2672291
Apr 18 2024  6:11:48,56,127.8782422
Apr 18 2024  6:11:51,63,125.2961943
Apr 18 2024  6:11:54,101,138.9174476
Apr 18 2024  6:11:57,73,144.2593129
Apr 18 2024  6:12:0,93,144.2165567
Apr 18 2024  6:12:3,71,145.5618824
Apr 18 2024  6:12:6,57,143.9184382
Apr 18 2024  6:12:9,68,143.4171256
Apr 18 2024  6:12:12,77,143.2019599
Apr 18 2024  6:12:15,56,140.7821524
Apr 18 2024  6:12:18,58,129.5789574
Apr 18 2024  6:12:21,56,126.1301565
Apr 18 2024  6:12:24,58,128.3355718
Apr 18 2024  6:12:27,72,126.4911096
Apr 18 2024  6:12:30,69,126.0078612
Apr 18 2024  6:12:33,69,128.0193977
Apr 18 2024  6:12:36,69,129.5636587
Apr 18 2024  6:12:39,69,132.3654864
Apr 18 2024  6:12:42,69,135.4251091
Apr 18 2024  6:12:45,69,138.1670697
Apr 18 2024  6:12:48,70,132.8571085
Apr 18 2024  6:12:51,70,135.0929209
Apr 18 2024  6:12:54,57,133.08569
Apr 18 2024  6:12:57,69,132.2756015
Apr 18 2024  6:13:0,70,NaN
Apr 18 2024  6:13:3,79,NaN
Apr 18 2024  6:13:6,74,NaN
Apr 18 2024  6:13:9,79,NaN
Apr 18 2024  6:13:12,58,NaN
